user_id,device_number,query_time,area_id,out_tag,query_staff,query_channel,limit_remark
U00221,13000000221,2026-01-23 17:45:17,320000,1,S126,短信,无限制
U00178,13000000178,2026-02-19 17:45:17,440000,1,S158,短信,无限制
U00240,13000000240,2026-02-08 17:45:17,310000,1,S151,APP,无限制
U00211,13000000211,2026-03-07 17:45:17,110000,0,S170,客服,欠费
U00099,13000000099,2026-03-17 17:45:17,110000,1,S106,客服,无限制
U00130,13000000130,2026-03-03 17:45:17,320000,1,S184,营业厅,无限制
U00055,13000000055,2026-02-21 17:45:17,330000,1,S171,客服,无限制
U00265,13000000265,2026-03-18 17:45:17,330000,0,S145,短信,绑定宽带
U00299,13000000299,2026-03-19 17:45:17,510000,0,S170,客服,欠费
U00241,13000000241,2026-02-18 17:45:17,440000,1,S104,营业厅,无限制
U00047,13000000047,2026-02-24 17:45:17,510000,1,S131,客服,无限制
U00073,13000000073,2026-03-13 17:45:17,440000,1,S156,营业厅,无限制
U00162,13000000162,2026-02-18 17:45:17,110000,1,S146,APP,无限制
U00172,13000000172,2026-02-08 17:45:17,320000,1,S137,短信,无限制
U00118,13000000118,2026-03-23 17:45:17,330000,0,S164,APP,欠费
U00082,13000000082,2026-03-14 17:45:17,510000,1,S191,APP,无限制
U00196,13000000196,2026-03-19 17:45:17,120000,1,S130,营业厅,无限制
U00289,13000000289,2026-01-24 17:45:17,310000,1,S143,客服,无限制
U00065,13000000065,2026-02-24 17:45:17,310000,0,S188,APP,欠费
U00279,13000000279,2026-03-09 17:45:17,330000,0,S140,短信,绑定宽带
U00049,13000000049,2026-02-03 17:45:17,120000,0,S191,APP,合约未到期
U00081,13000000081,2026-03-02 17:45:17,320000,0,S127,短信,欠费
U00193,13000000193,2026-02-17 17:45:17,320000,1,S104,APP,无限制
U00170,13000000170,2026-02-01 17:45:17,310000,0,S135,客服,绑定宽带
U00101,13000000101,2026-02-12 17:45:17,440000,1,S116,APP,无限制
U00059,13000000059,2026-02-07 17:45:17,440000,0,S182,短信,合约未到期
U00068,13000000068,2026-03-21 17:45:17,510000,1,S131,短信,无限制
U00229,13000000229,2026-03-07 17:45:17,510000,0,S185,营业厅,合约未到期
U00106,13000000106,2026-03-07 17:45:17,110000,1,S105,营业厅,无限制
U00210,13000000210,2026-03-04 17:45:17,120000,0,S180,短信,合约未到期
U00230,13000000230,2026-02-24 17:45:17,330000,0,S168,短信,合约未到期
U00232,13000000232,2026-02-24 17:45:17,110000,0,S197,APP,欠费
U00114,13000000114,2026-01-30 17:45:17,310000,0,S105,短信,欠费
U00286,13000000286,2026-03-01 17:45:17,330000,1,S129,短信,无限制
U00094,13000000094,2026-03-19 17:45:17,440000,0,S189,短信,合约未到期
U00280,13000000280,2026-03-03 17:45:17,120000,1,S189,APP,无限制
U00195,13000000195,2026-02-16 17:45:17,330000,0,S197,APP,合约未到期
U00190,13000000190,2026-03-06 17:45:17,110000,0,S193,APP,合约未到期
U00246,13000000246,2026-02-28 17:45:17,110000,0,S120,APP,合约未到期
U00102,13000000102,2026-02-12 17:45:17,320000,0,S146,短信,合约未到期
U00255,13000000255,2026-01-25 17:45:17,440000,0,S164,客服,合约未到期
U00092,13000000092,2026-03-04 17:45:17,110000,1,S135,客服,无限制
U00201,13000000201,2026-02-10 17:45:17,510000,0,S139,营业厅,欠费
U00079,13000000079,2026-02-25 17:45:17,310000,0,S118,短信,合约未到期
U00282,13000000282,2026-02-02 17:45:17,310000,0,S131,客服,合约未到期
U00254,13000000254,2026-02-26 17:45:17,310000,1,S144,营业厅,无限制
U00202,13000000202,2026-02-01 17:45:17,330000,1,S194,短信,无限制
U00122,13000000122,2026-02-02 17:45:17,440000,1,S149,短信,无限制
U00208,13000000208,2026-01-23 17:45:17,510000,1,S114,营业厅,无限制
U00126,13000000126,2026-01-31 17:45:17,120000,1,S174,APP,无限制
U00300,13000000300,2026-02-14 17:45:17,330000,0,S134,营业厅,欠费
U00235,13000000235,2026-02-09 17:45:17,320000,0,S155,客服,欠费
U00054,13000000054,2026-02-12 17:45:17,510000,0,S117,营业厅,欠费
U00283,13000000283,2026-02-04 17:45:17,440000,0,S122,营业厅,欠费
U00154,13000000154,2026-02-11 17:45:17,120000,0,S134,营业厅,合约未到期
U00121,13000000121,2026-03-22 17:45:17,310000,0,S162,APP,欠费
U00236,13000000236,2026-02-06 17:45:17,510000,1,S104,客服,无限制
