sheet_id,device_number,is_turn,serv_content,accept_time,solved_result,cust_satisfaction
S041,13000000102,是,携转咨询,2026-02-25 17:45:17,已解决,一般
S042,13000000131,是,账单疑问,2026-03-03 17:45:17,处理中,满意
S043,13000000172,否,信号差,2026-03-12 17:45:17,已解决,不满意
S044,13000000239,否,信号差,2026-01-25 17:45:17,处理中,一般
S045,13000000092,否,信号差,2026-02-02 17:45:17,处理中,不满意
S046,13000000052,是,流量不够,2026-02-01 17:45:17,已解决,一般
S047,13000000227,是,携转咨询,2026-03-02 17:45:17,处理中,一般
S048,13000000282,否,客服态度,2026-02-16 17:45:17,已解决,一般
S049,13000000222,是,流量不够,2026-03-13 17:45:17,处理中,一般
S050,13000000080,否,客服态度,2026-02-23 17:45:17,已解决,不满意
S051,13000000241,否,账单疑问,2026-01-25 17:45:17,处理中,不满意
S052,13000000143,是,账单疑问,2026-02-08 17:45:17,已解决,满意
S053,13000000247,是,流量不够,2026-03-16 17:45:17,处理中,一般
S054,13000000234,否,账单疑问,2026-03-20 17:45:17,处理中,一般
S055,13000000201,否,账单疑问,2026-03-12 17:45:17,已解决,一般
S056,13000000141,是,网速慢,2026-03-13 17:45:17,处理中,一般
S057,13000000101,是,账单疑问,2026-02-16 17:45:17,处理中,满意
S058,13000000196,是,账单疑问,2026-01-31 17:45:17,处理中,一般
S059,13000000147,是,网速慢,2026-01-27 17:45:17,处理中,满意
S060,13000000075,否,信号差,2026-02-25 17:45:17,已解决,一般
S061,13000000191,是,账单疑问,2026-02-03 17:45:17,已解决,满意
S062,13000000291,否,信号差,2026-02-18 17:45:17,已解决,一般
S063,13000000275,否,客服态度,2026-01-24 17:45:17,处理中,不满意
S064,13000000270,否,客服态度,2026-02-07 17:45:17,已解决,不满意
S065,13000000053,否,信号差,2026-01-23 17:45:17,处理中,不满意
S066,13000000070,是,网速慢,2026-02-25 17:45:17,已解决,不满意
S067,13000000133,否,账单疑问,2026-02-11 17:45:17,处理中,不满意
S068,13000000170,是,流量不够,2026-02-27 17:45:17,处理中,不满意
S069,13000000217,是,携转咨询,2026-02-24 17:45:17,已解决,不满意
S070,13000000269,是,携转咨询,2026-02-25 17:45:17,已解决,一般
S071,13000000203,否,账单疑问,2026-03-03 17:45:17,已解决,满意
S072,13000000190,否,账单疑问,2026-01-31 17:45:17,已解决,不满意
S073,13000000055,是,携转咨询,2026-02-08 17:45:17,已解决,一般
S074,13000000153,否,账单疑问,2026-03-12 17:45:17,已解决,不满意
S075,13000000260,是,流量不够,2026-02-16 17:45:17,已解决,满意
S076,13000000182,是,携转咨询,2026-02-08 17:45:17,处理中,满意
S077,13000000271,是,账单疑问,2026-03-13 17:45:17,处理中,不满意
S078,13000000167,否,客服态度,2026-03-11 17:45:17,处理中,一般
S079,13000000193,否,流量不够,2026-03-07 17:45:17,处理中,满意
S080,13000000210,否,信号差,2026-01-26 17:45:17,处理中,一般
S081,13000000262,否,账单疑问,2026-02-21 17:45:17,处理中,一般
S082,13000000277,否,信号差,2026-02-11 17:45:17,处理中,不满意
S083,13000000071,否,流量不够,2026-03-24 17:45:17,处理中,一般
S084,13000000119,否,网速慢,2026-03-04 17:45:17,处理中,一般
S085,13000000264,否,账单疑问,2026-03-18 17:45:17,已解决,一般
S086,13000000221,是,账单疑问,2026-02-03 17:45:17,处理中,满意
S087,13000000300,是,信号差,2026-03-09 17:45:17,已解决,一般
S088,13000000176,否,网速慢,2026-03-03 17:45:17,处理中,一般
S089,13000000284,否,客服态度,2026-02-10 17:45:17,已解决,一般
S090,13000000050,否,流量不够,2026-02-02 17:45:17,已解决,满意
S091,13000000188,否,网速慢,2026-01-30 17:45:17,已解决,满意
